"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"resistance_index","endurance","RN","continuous derived","continuous_or_derived","BT1_vs_BT3","BT1","BT3","1","96h",14,15,-5.59587301587302,-2.86666666666667,-0.720852102330708,-0.352380952380952,-0.352380952380952,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","1h",14,16,13.2869914919294,13.0195350643693,0.767475757152812,0.375,0.375,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","24h",15,16,13.3018956026543,11.3874474604567,0.704841419502725,0.404166666666667,0.404166666666667,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0","96h",16,16,-1.31220680157207,-2.89412887692905,-0.08534990398185,-0.0234375,-0.0234375,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,-18.3506269905168,-24.6927262287673,-0.865682170364706,-0.4375,-0.4375,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,43.2290783501572,46.980824621599,1.93600574680561,0.866666666666667,0.866666666666667,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,-2.74410686993649,4.00181735608216,-0.149948083100577,0.046875,0.046875,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","1h",16,16,-13.0500236338496,-23.1324505173189,-0.445503785825241,-0.26953125,-0.26953125,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","24h",14,12,-12.6176513527896,-8.91643562372195,-0.653761706192516,-0.333333333333333,-0.333333333333333,NA,NA,"tested"
"stratum_pref","NTT spatial position","NTT","bounded/proportion-like","bounded_continuous_or_proportion","BT1_vs_BT2","BT1","BT2","1","96h",14,16,19.5360786002138,28.4817707235526,0.769828886669709,0.419642857142857,0.419642857142857,NA,NA,"tested"
