"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT2","0.5","1h","mtpc","mtpc",16,16,0,47.8384258002811,121.325573516975,6.9264705882353,7.13445617563264,0,480
"BT3","0.5","1h","mtpc","mtpc",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","mtpc","mtpc",16,16,0,12.5939163682031,21.7622927617395,5.87435897435897,6.74328022875817,0,90
"BT2","1","1h","mtpc","mtpc",16,16,0,46.741405375988,119.247701027295,7.94428152492669,14.1142307692308,0,480
"BT3","1","1h","mtpc","mtpc",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","mtpc","mtpc",15,15,0,8.86473850710693,14.4735550230133,4.84,3.51795454545454,2,60.5
"BT2","0","24h","mtpc","mtpc",16,16,0,94.4830253582624,182.047106359825,10.3636363636364,16.5515873015873,0,480
"BT3","0","24h","mtpc","mtpc",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","mtpc","mtpc",15,15,0,29.5840964053867,48.344784197266,6.1,18.894470046083,1.66666666666667,162
"BT2","0.5","24h","mtpc","mtpc",15,15,0,103.722235191279,160.959812682631,36.0909090909091,96.453125,0,480
"BT3","0.5","24h","mtpc","mtpc",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","mtpc","mtpc",14,14,0,24.1783506830511,55.8221617453181,7.99865047233468,3.65625,5.51219512195122,217.5
"BT2","1","24h","mtpc","mtpc",12,12,0,27.4637657680761,38.9907760245812,9.87499999999999,20.1226343101343,4.43103448275862,137
"BT3","1","24h","mtpc","mtpc",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","mtpc","mtpc",16,16,0,17.6646700995251,29.5151479772011,6.87196969696969,7.2737157471684,0,115.25
"BT2","0","96h","mtpc","mtpc",16,16,0,23.6432544823732,56.8532131335721,7.90035714285715,8.19689316239315,2.51666666666667,235.4
"BT3","0","96h","mtpc","mtpc",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","mtpc","mtpc",16,16,0,37.808275256947,110.848206990785,7.61898395721925,10.2507081948259,5.2258064516129,453
