fish_id,dist_total,mov_total,vel_mean,stratum_pref,time_bright,first_choice_binary,latency,mtpc,num_changes,resistance_index,attempts,blood_sugar,condition_factor
1BT96h00509,4169.74,427,9.76519906323185,32.7868852459016,267,0,0,8.09090909090909,33,33.4666666666667,1,361,1.27013158563227
1BT96h00511,5044.78,402,12.5492039800995,93.0348258706468,35,1,435,8.75,4,5.05,2,217,1.02412380518889
1BT96h00512,5582.03,431,12.9513457076566,44.7795823665893,234,1,0,6.68571428571429,35,31.0666666666667,1,281,1.792
1BT96h00513,6250.42,445,14.0458876404494,35.5056179775281,162,1,0,5.2258064516129,31,48.3333333333333,1,126,1.39407109762598
1BT96h00514,7062.33,430,16.424023255814,70.6976744186046,383,1,0,19.15,20,37.5,1,317,1.472
1BT96h00515,4871.37,444,10.9715540540541,59.6846846846847,269,1,0,5.97777777777778,45,8.2,1,134,1.408
1BT96h00516,4965.42,404,12.2906435643564,43.0693069306931,243,1,0,7.14705882352941,34,35.3333333333333,1,96,1.47941152297197
1BT96h01001,2637.07,427,6.17580796252927,43.7939110070258,402,1,0,28.7142857142857,14,11.75,3,74,1.42239417387346
1BT96h01003,6604.87,398,16.5951507537688,70.6030150753769,480,1,0,480,0,25.3166666666667,2,150,1.6765736930346
1BT96h01004,5051.54,396,12.7564141414141,22.979797979798,459,1,8,57.375,8,8.46666666666667,2,167,1.52415790275873
1BT96h01005,2959.6,301,9.83255813953488,21.9269102990033,83,1,0,4.15,20,6.33333333333333,1,88,1.51851851851852
1BT96h01006,3962.39,406,9.75958128078818,3.69458128078818,462,1,18,462,0,15.2,1,210,1.47941152297197
1BT96h01007,4233.35,377,11.2290450928382,3.71352785145889,95,1,0,4.52380952380952,21,6.46666666666667,2,142,1.36549840691853
1BT96h01008,3191.24,358,8.9140782122905,55.8659217877095,435,1,0,72.5,6,9.66666666666667,1,161,1.472
1BT96h01010,3702.8,378,9.7957671957672,1.58730158730159,400,0,0,22.2222222222222,18,8.86666666666667,3,242,1.51909722222222
1BT96h01011,3854.21,398,9.68394472361809,10.5527638190955,365,1,0,11.40625,32,30.6666666666667,1,256,1.728
1BT96h01012,3794.53,245,15.4878775510204,2.04081632653061,443,1,0,55.375,8,7.06666666666667,1,100,1.55807946205256
1BT96h01013,5006.14,419,11.9478281622912,14.3198090692124,127,1,0,3.52777777777778,36,9.66666666666667,1,192,1.62962962962963
1BT96h01014,3941.94,262,15.045572519084,46.1832061068702,480,1,0,480,0,30.9333333333333,3,116,1.56160105202597
