"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","statistic","estimate","ci_low","ci_high","bootstrap_R_requested","bootstrap_R_valid"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","mean_difference_b_minus_a",-7.875,-20.8796875,0.875,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","median_difference_b_minus_a",0,0,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","hedges_g",-0.450781112773865,-0.805816232301911,0.280840002925862,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h","cliffs_delta",-0.10546875,-0.39072265625,0.17578125,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","mean_difference_b_minus_a",-54.8125,-123.375,-3.875,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","median_difference_b_minus_a",0,-70,0,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","hedges_g",-0.588236372822931,-1.01440377695705,-0.14476626058722,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h","cliffs_delta",-0.16796875,-0.46875,0.125,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h","mean_difference_b_minus_a",-35.6,-105.945,29.4683333333333,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h","median_difference_b_minus_a",-2,-20,7,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h","hedges_g",-0.348231673993875,-0.961584532925662,0.370490372764631,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h","cliffs_delta",-0.244444444444444,-0.582222222222222,0.120111111111111,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","mean_difference_b_minus_a",-15.4375,-80.9390625,32.0015625,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","median_difference_b_minus_a",0,0,6,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","hedges_g",-0.180981795478959,-0.628912064854092,0.661331007683949,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","cliffs_delta",0.1328125,-0.18359375,0.46484375,2000,2000
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","mean_difference_b_minus_a",-16.1875,-74.7515625,45.2546875,2000,2000
