fish_id,battery_suite,group,date,start_time,treatment,exposure,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
1BT96hCTR01,1,96h_CTR,2020-09-17,10:57:29,0.0,96,0,C,20,127,6.4,209,213,422,2602.82,3121.55,5724.37,12.45,14.66,13.56,1,9,30,40.5,3,2.3,0.25,0.00205,f,,60,7.4
1BT96hCTR02,1,96h_CTR,2020-09-17,11:15:42,0.0,96,93,E,15,342,22.8,21,23,44,261.3,361.06,622.36,12.44,15.7,14.14,1,9,11,37.65,3.5,2.9,0.34,0.00139,m,90,60,7.4
1BT96hCTR03,1,96h_CTR,2020-09-17,11:33:19,0.0,96,0,C,17,200,11.8,241,170,411,4019.21,3082.49,7101.7,16.68,18.13,17.28,1,9,52,43.8,3.1,2.6,0.29,0.00165,f,,60,7.4
1BT96hCTR04,1,96h_CTR,2020-09-17,11:50:53,0.0,96,0,E,25,82,3.3,270,151,421,2981.35,2741.57,5722.92,11.04,18.16,13.59,1,8,6,28.8,3,2.3,0.26,0.00214,f,369,60,7.4
1BT96hCTR05,1,96h_CTR,2020-09-17,12:07:42,0.0,96,0,C,4,461,115.3,248,118,366,5218.95,3104.12,8323.07,21.04,26.31,22.74,1,4,26,7.73,3.8,3.1,0.47,0.00158,m,121,60,7.4
1BT96hCTR06,1,96h_CTR,2020-09-17,12:25:00,0.0,96,0,C,23,291,12.7,177,244,421,1934.42,3136.35,5070.77,10.93,12.85,12.04,1,10,7,46.17,3.3,2.7,0.32,0.00163,m,369,60,7.4
1BT96hCTR07,1,96h_CTR,2020-09-17,12:42:07,0.0,96,0,E,25,107,4.3,198,230,428,2497.7,3097.75,5595.45,12.61,13.47,13.07,1,9,14,38.1,3,2.6,0.26,0.00148,m,219,60,7.4
1BT96hCTR08,1,96h_CTR,2020-09-17,12:58:33,0.0,96,0,C,19,108,5.7,280,148,428,2917.92,2128.25,5046.17,10.42,14.38,11.79,1,4,35,8.33,2.9,2.3,0.24,0.00197,f,,60,7.4
1BT96hCTR09,1,96h_CTR,2020-09-17,13:15:54,0.0,96,0,E,6,14,2.3,112,316,428,1159.12,3353.74,4512.86,10.35,10.61,10.54,1,8,49,34.53,3.3,2.6,0.26,0.00148,f,131,60,7.4
1BT96hCTR10,1,96h_CTR,2020-09-17,13:51:40,0.0,96,0,E,0,0,,300,6,306,1911.38,103.84,2015.22,6.37,17.31,6.59,1,7,7,21.82,3.8,3,0.23,0.00085,m,,60,7.4
1BT96hCTR11,1,96h_CTR,2020-09-17,14:09:25,0.0,96,9,E,6,356,59.3,246,193,439,2790.69,2532.48,5323.17,11.34,13.12,12.13,1,6,42,19.2,3.1,2.7,0.27,0.00137,m,145,60,7.4
1BT96hCTR12,1,96h_CTR,2020-09-17,14:27:29,0.0,96,0,C,33,244,7.4,223,154,377,3536.04,3273.87,6809.91,15.86,21.26,18.06,1,4,31,8.07,3.3,2.7,0.33,0.00168,f,399,60,7.4
1BT96hCTR13,1,96h_CTR,2020-09-17,14:44:00,0.0,96,0,E,4,39,9.8,168,226,394,2730.07,3353.43,6083.5,16.25,14.84,15.44,1,4,50,9.33,3.1,2.6,0.3,0.00171,f,,60,7.4
1BT96hCTR14,1,96h_CTR,2020-09-17,15:01:10,0.0,96,13,C,5,56,11.2,159,225,384,2332.69,3125.08,5457.77,14.67,13.89,14.21,1,10,4,45.67,3,2.4,0.22,0.00159,f,,60,7.4
1BT96hCTR15,1,96h_CTR,2020-09-17,15:20:10,0.0,96,32,E,28,136,4.9,248,173,421,2851.06,2114.93,4965.99,11.5,12.23,11.8,1,9,23,39.45,3.2,2.5,0.3,0.00192,f,,60,7.4
1BT96hCTR16,1,96h_CTR,2020-09-17,15:39:41,0.0,96,0,C,17,97,5.7,191,235,426,2207.54,2859.09,5066.63,11.56,12.17,11.89,1,12,5,11,3.4,2.7,0.31,0.00157,m,,60,7.4
1BT96h00501,1,96h_0.5,2020-09-18,10:23:44,0.5,96,0,C,33,345,10.5,246,207,453,3645.42,3072,6717.42,14.82,14.84,14.83,1,8,23,31.07,3.2,2.6,0.26,0.00148,m,366,100,7.2
1BT96h00502,1,96h_0.5,2020-09-18,10:41:19,0.5,96,18,C,22,360,16.4,3,396,399,65.74,3852.18,3917.92,21.91,9.73,9.82,2,9,3,36.45,2.9,2.4,0.2,0.00145,m,391,100,7.2
1BT96h00503,1,96h_0.5,2020-09-18,10:58:15,0.5,96,0,C,17,283,16.6,320,101,421,3760.77,1466.72,5227.49,11.75,14.52,12.42,1,8,55,35.33,3.2,2.6,0.28,0.00159,f,,100,7.2
1BT96h00504,1,96h_0.5,2020-09-18,11:15:29,0.5,96,0,C,1,453,453,145,284,429,766.52,2083.14,2849.66,5.29,7.34,6.64,5,1,21,0.35,2.8,2.4,0.18,0.0013,f,,100,7.2
1BT96h00505,1,96h_0.5,2020-09-18,11:32:31,0.5,96,10,C,30,186,6.2,298,150,448,3009.33,1778.4,4787.73,10.1,11.86,10.69,1,8,40,33.33,3.1,2.5,0.24,0.00154,m,,100,7.2
